,Mean Train loss,Last Train loss,Mean Test loss,Last Test loss,Train time callbacks,GCN sizes,LSTM sizes,History (in days),Test Date
0,90.20749771667475,64.64410012283109,65.96325950362466,52.32245000451803,16.60535002173856,"[4, 4]",[4],4,28 Nov
0,82.45386947584379,69.95520757576045,73.35931023576984,59.00801346086613,22.691824863199145,"[4, 4]",[4],5,28 Nov
0,78.34569702696135,51.24717530430011,72.40515163089917,59.228545917198055,22.168860006611794,"[4, 4]",[4],6,28 Nov
0,76.6409598041601,52.198360434368894,64.17921248321947,58.88858967995189,16.611573414411396,"[4, 4]",[4],7,28 Nov
0,82.66877448373899,65.84721181406216,64.5225670485063,52.09546237438918,13.714779945090413,"[4, 4]",[4],8,28 Nov
0,79.59458980682223,61.74018685926091,64.21488086700441,55.31334315308116,21.300689828582108,"[4, 4]",[4],9,28 Nov
0,88.05782786199993,83.88719561831519,72.90848546808417,67.47043486142701,16.08840295439586,"[4, 4]",[4],10,28 Nov
0,73.27279059351845,67.13137409565124,56.515153577110986,44.92789390412244,18.084426985587925,"[4, 4]",[4],11,28 Nov
0,77.4393921425871,64.77630682221869,59.24509099700234,52.16054071485997,17.60087063163519,"[4, 4]",[4],12,28 Nov
0,66.89896939620375,46.175040478507675,60.54478114446004,49.48263771831989,15.999316725414246,"[4, 4]",[4],2,7 Dec
0,55.467244465400775,39.27409184475739,52.30583690007527,41.898811707894005,13.21468672156334,"[4, 4]",[4],3,7 Dec
0,60.31457198907931,46.43050976097584,51.662422227859494,41.56539435187975,13.223749814555049,"[4, 4]",[4],4,7 Dec
0,60.378753558049596,53.40011551976204,52.557832082112625,45.60165832440058,11.774098160210997,"[4, 4]",[4],5,7 Dec
0,61.805039843916894,52.34558063248793,57.3731951713562,49.15956320861975,16.347796103917062,"[4, 4]",[4],6,7 Dec
0,59.49964973429838,45.41657812893391,53.228629366556795,43.359658022721604,13.545873036142439,"[4, 4]",[4],7,7 Dec
0,58.10556786234179,46.609948848684624,53.07627620697021,50.04954213897387,4.533269862178713,"[4, 4]",[4],8,7 Dec
0,67.16730358451605,57.0126408090194,68.35836022694906,66.91458538174629,3.9384531606920063,"[4, 4]",[4],9,7 Dec
0,66.59191832343737,56.79641954600811,61.66627524693806,57.22409673035145,15.090137870050967,"[4, 4]",[4],10,7 Dec
0,69.55232842465242,53.94431362549464,66.02190478642781,61.33806904157002,15.62035046191886,"[4, 4]",[4],11,7 Dec
0,69.96185949121912,58.735918502012886,66.92725003560383,60.86106029649575,15.956373003311455,"[4, 4]",[4],12,7 Dec
0,47.57545446581809,32.785780925869695,45.28340153945744,45.82109836332541,11.139204879757017,"[4, 4]",[4],2,15 Dec
0,51.78594134726794,48.763987420359626,41.0976138689369,41.44535567855928,12.518562322948128,"[4, 4]",[4],3,15 Dec
0,106.95486547745278,70.68606425441153,67.12992869667386,43.13341210677248,11.328106324654073,"[4, 4]",[4],4,15 Dec
0,89.05478670003055,73.90838714478457,58.82994544350583,51.41104555729291,13.851101683918387,"[4, 4]",[4],5,15 Dec
0,86.62181540191094,57.69513305600571,57.20581067282221,44.01426855353234,3.659731133375317,"[4, 4]",[4],6,15 Dec
0,90.15778618217244,58.61895027084519,61.75015041828156,43.52502289876018,3.6734663038514555,"[4, 4]",[4],7,15 Dec
0,82.2386631216611,59.312072089346856,57.46273657446322,48.324359520136014,4.211480056867003,"[4, 4]",[4],8,15 Dec
